"member_casual","start_station_name","count_station"
"casual","Stetson Ave & South Water St","3771"
"casual","Wells St & Walton St","3757"
"casual","Milwaukee Ave & Wabansia Ave","3749"
"casual","Clarendon Ave & Junior Ter","3739"
"casual","Calumet Ave & 18th St","3687"
"casual","Bissell St & Armitage Ave*","3686"
"casual","Sheffield Ave & Kingsbury St","3662"
"casual","Honore St & Division St","3658"
"casual","Franklin St & Chicago Ave","3625"
"casual","Cannon Dr & Fullerton Ave","3621"
"casual","Burling St & Diversey Pkwy","3612"
"casual","Wabash Ave & Adams St","3591"
"casual","Clark St & Chicago Ave","3566"
"casual","State St & Harrison St","3535"
"casual","Woodlawn Ave & 55th St","3494"
"casual","Rush St & Hubbard St","3462"
"casual","Canal St & Monroe St","3452"
"casual","Clark St & Leland Ave","3440"
"casual","Aberdeen St & Randolph St","3437"
"casual","LaSalle St & Jackson Blvd","3437"
"casual","Elston Ave & Cortland St","3400"
"casual","Wells St & Polk St","3293"
"casual","Carpenter St & Huron St","3274"
"casual","Larrabee St & Division St","3265"
"casual","State St & Van Buren St","3213"
"casual","Western Ave & Winnebago Ave","3202"
"casual","Michigan Ave & 18th St","3201"
"casual","Clifton Ave & Armitage Ave","3147"
"casual","Desplaines St & Jackson Blvd","3135"
"casual","Sheridan Rd & Buena Ave","3133"
"casual","Greenview Ave & Fullerton Ave","3114"
"casual","900 W Harrison St","3094"
"casual","Elizabeth St & Randolph St","3061"
"casual","Halsted St & Willow St","3048"
"casual","Canal St & Jackson Blvd","3037"
"casual","Sangamon St & Lake St","3009"
"casual","Wabash Ave & 16th St","2999"
"casual","Franklin St & Adams St (Temp)","2914"
"casual","Green St & Randolph St*","2899"
"casual","Southport Ave & Clybourn Ave","2847"
"casual","Sheridan Rd & Noyes St (NU)","2846"
"casual","Delano Ct & Roosevelt Rd","2834"
"casual","Southport Ave & Irving Park Rd","2830"
"casual","Desplaines St & Randolph St","2822"
"casual","Morgan St & Lake St*","2788"
"casual","Loomis St & Lexington St","2773"
"casual","Museum of Science and Industry","2769"
"casual","Larrabee St & Armitage Ave","2744"
"casual","Lake Park Ave & 56th St","2737"
"casual","Franklin St & Monroe St","2729"
"casual","Dearborn St & Adams St","2727"
"casual","Ogden Ave & Race Ave","2725"
"casual","Clark St & Montrose Ave","2722"
"casual","Halsted St & Maxwell St","2721"
"casual","Marine Dr & Ainslie St","2719"
"casual","Financial Pl & Ida B Wells Dr","2713"
"casual","Orleans St & Chestnut St (NEXT Apts)","2708"
"casual","Damen Ave & Chicago Ave","2692"
"casual","State St & Pearson St","2690"
"casual","Sheffield Ave & Willow St","2687"
"casual","Damen Ave & Division St","2676"
"casual","Aberdeen St & Monroe St","2673"
"casual","Ashland Ave & Blackhawk St","2664"
"casual","Eckhart Park","2664"
"casual","Halsted St & Polk St","2648"
"casual","Morgan St & Polk St","2648"
"casual","Ashland Ave & Grace St","2645"
"casual","Green St & Washington Blvd","2641"
"casual","Sheridan Rd & Argyle St","2573"
"casual","Cornell Ave & Hyde Park Blvd","2566"
"casual","Jefferson St & Monroe St","2542"
"casual","Damen Ave & Thomas St (Augusta Blvd)","2536"
"casual","Clark St & Bryn Mawr Ave","2529"
"casual","Broadway & Argyle St","2525"
"casual","Broadway & Granville Ave","2524"
"casual","Paulina Ave & North Ave","2520"
"casual","Benson Ave & Church St","2519"
"casual","Broadway & Thorndale Ave","2500"
"casual","Clark St & Ida B Wells Dr","2465"
"casual","Racine Ave & Wrightwood Ave","2439"
"casual","Clark St & Randolph St","2436"
"casual","Walsh Park","2432"
"casual","Lincoln Ave & Melrose St","2396"
"casual","Sangamon St & Washington Blvd","2394"
"casual","Chicago Ave & Sheridan Rd","2381"
"casual","Lake Park Ave & 53rd St","2365"
"casual","Greenview Ave & Diversey Pkwy","2359"
"casual","Ashland Ave & Lake St","2351"
"casual","LaSalle St & Washington St","2349"
"casual","Orleans St & Hubbard St","2347"
"casual","Blackstone Ave & 59th St","2296"
"casual","Damen Ave & Charleston St","2279"
"casual","Wacker Dr & Washington St","2279"
"casual","Broadway & Berwyn Ave","2272"
"casual","Calumet Ave & 21st St","2266"
"casual","Winthrop Ave & Lawrence Ave","2262"
"casual","Western Ave & Division St","2253"
"casual","Damen Ave & Leland Ave","2246"
"casual","Dearborn St & Van Buren St","2242"
"casual","Western Ave & Walton St","2237"
"casual","Buckingham Fountain (Temp)","2229"
"casual","Western Ave & Leland Ave","2217"
"casual","Clarendon Ave & Leland Ave","2202"
"casual","Wentworth Ave & Cermak Rd","2189"
"casual","Streeter Dr/Grand Ave","2188"
"casual","Larrabee St & North Ave","2181"
"casual","Seeley Ave & Roscoe St","2175"
"casual","Clark St & 9th St (AMLI)","2166"
"casual","Leavitt St & North Ave","2166"
"casual","Lincoln Ave & Roscoe St*","2157"
"casual","Wells St & Institute Pl","2155"
"casual","California Ave & Cortez St","2139"
"casual","Fort Dearborn Dr & 31st St*","2117"
"casual","Clinton St & Roosevelt Rd","2114"
"casual","Campbell Ave & North Ave","2113"
"casual","Fairbanks St & Superior St","2104"
"casual","Sheridan Rd & Lawrence Ave","2103"
"casual","Sheridan Rd & Loyola Ave","2084"
"casual","Wentworth Ave & Cermak Rd*","2059"
"casual","Canal St & Taylor St","2055"
"casual","Wolcott (Ravenswood) Ave & Montrose Ave","2034"
"casual","Humboldt Blvd & Armitage Ave","2034"
"casual","Ashland Ave & Wellington Ave","2029"
"casual","Spaulding Ave & Armitage Ave","2002"
"casual","Morgan St & 18th St","1979"
"casual","Lincoln Ave & Sunnyside Ave","1976"
"casual","Leavitt St & Armitage Ave","1970"
"casual","Larrabee St & Oak St","1969"
"casual","Damen Ave & Foster Ave","1940"
"casual","Racine Ave & 18th St","1936"
"casual","Ellis Ave & 58th St","1935"
"casual","Ada St & Washington Blvd","1924"
"casual","N Green St & W Lake St","1916"
"casual","May St & Taylor St","1911"
"casual","Leavitt St & Belmont Ave","1901"
"casual","Broadway & Ridge Ave","1881"
"casual","Albany Ave & Bloomingdale Ave","1868"
"casual","Sedgwick St & Schiller St","1852"
"casual","Ashland Ave & Wrightwood Ave","1838"
"casual","Fort Dearborn Dr & 31st St","1835"
"casual","California Ave & Francis Pl","1830"
"casual","Ashland Ave & Chicago Ave","1829"
"casual","Wood St & Chicago Ave","1822"
"casual","Wood St & Augusta Blvd","1798"
"casual","Ellis Ave & 53rd St","1772"
"casual","Leavitt St & Chicago Ave","1766"
"casual","Damen Ave & Wellington Ave","1756"
"casual","Halsted St & Roosevelt Rd","1748"
"casual","Kedzie Ave & Palmer Ct","1735"
"casual","Blackstone Ave & Hyde Park Blvd","1720"
"casual","Ashland Ave & Augusta Blvd","1717"
"casual","LaSalle St & Adams St","1690"
"casual","Lincoln Ave & Belle Plaine Ave","1685"
"casual","Damen Ave & Clybourn Ave","1683"
"casual","Stave St & Armitage Ave","1679"
"casual","Damen Ave & Grand Ave","1677"
"casual","Milwaukee Ave & Fullerton Ave","1676"
"casual","Orleans St & Elm St","1656"
"casual","Woodlawn Ave & 58th St","1650"
"casual","Clark St & Lunt Ave","1647"
"casual","Clinton St & Tilden St","1639"
"casual","Logan Blvd & Elston Ave","1634"
"casual","Southport Ave & Clark St","1630"
"casual","Elizabeth St & Fulton St","1626"
"casual","Milwaukee Ave & Rockwell St","1607"
"casual","Ashland Ave & Grand Ave","1589"
"casual","Leavitt St & Division St","1580"
"casual","Ravenswood Ave & Irving Park Rd","1576"
"casual","Noble St & Milwaukee Ave","1566"
"casual","Blue Island Ave & 18th St","1566"
"casual","Artesian Ave & Hubbard St","1545"
"casual","Halsted St & 18th St","1520"
"casual","MLK Jr Dr & 29th St","1511"
"casual","Wabash Ave & Cermak Rd","1505"
"casual","Paulina St & Montrose Ave","1504"
"casual","Clybourn Ave & Division St","1486"
"casual","Loomis St & Jackson Blvd","1477"
"casual","Hampden Ct & Diversey Ave","1474"
"casual","California Ave & Division St","1473"
"casual","Racine Ave & Washington Blvd","1461"
"casual","Wells St & Randolph St","1439"
"casual","Lincoln Ave & Byron St","1434"
"casual","Larrabee St & Menomonee St","1424"
"casual","Throop St & Taylor St","1422"
"casual","Damen Ave & Melrose Ave","1407"
"casual","Damen Ave & Sunnyside Ave","1398"
"casual","Paulina St & 18th St","1397"
"casual","Damen Ave & Madison St","1390"
"casual","Clark St & Elmdale Ave","1369"
"casual","W Oakdale Ave & N Broadway","1365"
"casual","Wood St & Hubbard St","1362"
"casual","Racine Ave & Randolph St","1357"
"casual","State St & 33rd St","1340"
"casual","Wolcott Ave & Polk St","1333"
"casual","Racine Ave & Congress Pkwy","1328"
"casual","Lincoln Ave & Addison St","1326"
"casual","Paulina St & Flournoy St","1293"
"casual","Damen Ave & Wabansia Ave","1292"
