"start_station_name","count_station"
"Clinton St & Washington Blvd","27346"
"Kingsbury St & Kinzie St","26324"
"Clark St & Elm St","24298"
"Clinton St & Madison St","22168"
"Wells St & Concord Ln","20427"
"Wells St & Elm St","20337"
"University Ave & 57th St","18894"
"Broadway & Barry Ave","17960"
"Clinton St & Jackson Blvd","17730"
"State St & Chicago Ave","17479"
